1549	"20151023 12:00PM UTC"	"Rocket Software Software to Exhibit Software and Present at IBM Insight2015"	"http://www.reuters.com/article/rocket-software-idUSnPn2vJBYk+8e+PRN20151022"
2074	"20151023 10:00AM UTC"	"IBM Launches Data Exchange to Empower Marketers to Engage Customers in the Moment"	"http://www.reuters.com/article/ny-ibm-data-exchange-idUSnPnbYcx5y+90+PRN20151022"
2421	"20151023 9:00AM UTC"	"Spare5 Joins The IBM Watson Ecosystem"	"http://www.reuters.com/article/spare5-ibm-watson-idUSnPnbywnCm+82+PRN20151022"
2431	"20151023 9:00AM UTC"	"Swiss Re to work with IBM Watson to harness the power of Big Data for Reinsurance"	"http://www.reuters.com/article/ny-ibm-swiss-re-data-idUSnPnbDhsj5+90+PRN20151022"
2541	"20151023 8:55AM UTC"	"Datawatch to Showcase Innovative Self-Service Data Preparation Solutions at IBM Insight"	"http://www.reuters.com/article/idUSnGNX4FlZtd+1d4+GNW20151022"
2813	"20151023 8:00AM UTC"	"KwikWork Legal from enChoice Leverages IBM Enterprise Content Management Investments to Improve Legal Department Collaboration & Productivity"	"http://www.reuters.com/article/idUSnMKWyQHWPa+1de+MKW20151022"
2988	"20151023 7:34AM UTC"	"Motio Releases Theia. IBM Cognos BI Users are Presented with an Evolutionary User Experience"	"http://www.reuters.com/article/motio-inc-ibm-idUSnPn8r6ZPH+87+PRN20151022"
4035	"20151023 12:01AM UTC"	"IBM, UK STFC Hartree Centre, NVIDIA and Mellanox Launch High Performance Computing POWER Acceleration and Design Center for Business"	"http://www.reuters.com/article/ibm-design-business-idUSnPn5TFx62+98+PRN20151022"
9767	"20151024 10:00AM UTC"	"DBI Software Announces pureFeat(TM) V6.2 Performance Management Suite for IBM DB2 LUW"	"http://www.reuters.com/article/idUSnGNX43Spkr+1c8+GNW20151023"
9963	"20151024 9:00AM UTC"	"MediaMath Joins IBM Universal Behavior Exchange"	"http://www.reuters.com/article/mediamath-joins-ibm-idUSnPn13ZCgw+8c+PRN20151023"
10211	"20151024 8:00AM UTC"	"Rocket Fuel Brings Programmatic Marketing Platform to IBM Universal Behavior Exchange"	"http://www.reuters.com/article/ca-rocket-fuel-idUSnBw235152a+100+BSW20151023"
10222	"20151024 8:00AM UTC"	"Vibes Brings Mobile Marketing and Mobile Wallet Capabilities to IBM’s Universal Behavior Exchange"	"http://www.reuters.com/article/il-vibes-idUSnBw235158a+100+BSW20151023"
