Reference,Account Number,Description,Start Balance,Mutation,End Balance
135452,NL46ABNA0625805417,Candy from Vincent Theuﬂ,17.24,-5.8,11.44
112806,NL32RABO0195610843,Candy for Willem de Vries,23.45,+30.72,54.17
147753,NL90ABNA0585647886,Flowers from Peter Bakker,99.36,+31.85,131.21
104421,NL74ABNA0248990274,Subscription for Richard King,48.86,-31.91,16.95
112806,NL43AEGO0773393871,Clothes from Peter de Vries,79.95,-4.29,75.66
112806,NL46ABNA0625805417,Clothes for DaniÎl Theuﬂ,83.13,-6.86,76.27
137794,NL27SNSB0917829871,Clothes for Vincent Theuﬂ,105.09,-2.06,103.03
117014,NL27SNSB0917829871,Tickets for Jan Dekker,100.07,+12.52,112.59
197302,NL91RABO0315273637,Tickets for Peter Dekker,22.57,-26.98,-4.41
169222,NL43AEGO0773393871,Tickets for Richard Bakker,10.89,+11.25,22.14
